26
46
0 C_hostel
1 B_hostel
2 A_hostel
3 PG2_hostel
4 PG1_hostel
5 Mini_canteen
6 G_hostel
7 Audi
8 ATM_circle
9 Hall_complex
10 Tennis_Court
11 Main_Buliding
12 PG_Block
13 Library
14 Dept_buliding
15 EC_dept
16 ELHC
17 IT_Lab
18 OAT
19 NLHC
20 CCC
21 Basketball_court
22 Admin_block
23 Academic_block
24 Main_canteen
25 Main_gate
0 1 2
0 5 1
1 2 1
1 3 1
2 4 3
2 8 1
4 10 5
5 6 2
6 7 6
7 14 3
8 11 2
8 9 3
9 10 3
9 11 3
9 20 3
9 21 2
9 22 5
10 22 4
10 23 5
10 25 3
11 12 1
11 13 2
11 20 1
11 18 3
11 15 2
11 19 4
11 16 5
12 14 1
12 13 1
13 15 2
13 14 1
14 17 2
15 16 2
15 17 4
16 17 2
16 18 2
18 19 2
19 21 2
19 20 3
19 22 4
20 21 2
21 22 3
22 23 2
22 25 2
23 25 1
23 24 4
